episode,reward,win_rate
1,-1.0,0.0
2,-1.0,0.0
3,-1.0,0.0
4,-1.0,0.0
5,-1.0,0.0
6,-1.0,0.0
7,1.0,0.14285714285714285
8,1.0,0.25
9,-1.0,0.2222222222222222
10,-1.0,0.2
11,-1.0,0.18181818181818182
12,1.0,0.25
13,-1.0,0.23076923076923078
14,-1.0,0.21428571428571427
15,1.0,0.26666666666666666
16,1.0,0.3125
17,-1.0,0.29411764705882354
18,1.0,0.3333333333333333
19,1.0,0.3684210526315789
20,-1.0,0.35
21,-1.0,0.3333333333333333
22,-1.0,0.3181818181818182
23,-1.0,0.30434782608695654
24,1.0,0.3333333333333333
25,-1.0,0.32
26,-1.0,0.3076923076923077
27,-1.0,0.2962962962962963
28,-1.0,0.2857142857142857
29,1.0,0.3103448275862069
30,-1.0,0.3
31,-1.0,0.2903225806451613
32,0.0,0.28125
33,-1.0,0.2727272727272727
34,0.0,0.2647058823529412
35,1.0,0.2857142857142857
36,1.0,0.3055555555555556
37,-1.0,0.2972972972972973
38,-1.0,0.2894736842105263
39,-1.0,0.28205128205128205
40,-1.0,0.275
41,1.0,0.2926829268292683
42,-1.0,0.2857142857142857
43,-1.0,0.27906976744186046
44,-1.0,0.2727272727272727
45,-1.0,0.26666666666666666
46,1.0,0.2826086956521739
47,-1.0,0.2765957446808511
48,1.0,0.2916666666666667
49,-1.0,0.2857142857142857
50,1.0,0.3
51,-1.0,0.29411764705882354
52,-1.0,0.28846153846153844
53,-1.0,0.2830188679245283
54,1.0,0.2962962962962963
55,-1.0,0.2909090909090909
56,1.0,0.30357142857142855
57,-1.0,0.2982456140350877
58,1.0,0.3103448275862069
59,-1.0,0.3050847457627119
60,1.0,0.31666666666666665
61,-1.0,0.3114754098360656
62,-1.0,0.3064516129032258
63,-1.0,0.30158730158730157
64,-1.0,0.296875
65,-1.0,0.2923076923076923
66,-1.0,0.2878787878787879
67,-1.0,0.2835820895522388
68,1.0,0.29411764705882354
69,1.0,0.30434782608695654
70,-1.0,0.3
71,-1.0,0.29577464788732394
72,-1.0,0.2916666666666667
73,-1.0,0.2876712328767123
74,1.0,0.2972972972972973
75,-1.0,0.29333333333333333
76,-1.0,0.2894736842105263
77,-1.0,0.2857142857142857
78,-1.0,0.28205128205128205
79,-1.0,0.27848101265822783
80,-1.0,0.275
81,-1.0,0.2716049382716049
82,-1.0,0.2682926829268293
83,-1.0,0.26506024096385544
84,1.0,0.27380952380952384
85,-1.0,0.27058823529411763
86,-1.0,0.26744186046511625
87,-1.0,0.26436781609195403
88,-1.0,0.26136363636363635
89,-1.0,0.25842696629213485
90,-1.0,0.25555555555555554
91,-1.0,0.25274725274725274
92,1.0,0.2608695652173913
93,-1.0,0.25806451612903225
94,-1.0,0.2553191489361702
95,-1.0,0.25263157894736843
96,-1.0,0.25
97,-1.0,0.24742268041237114
98,-1.0,0.24489795918367346
99,-1.0,0.24242424242424243
